p_do,p_po,t_do,t_po
a bandersnatch quilliged them a rath .,a bandersnatch quilliged a rath for them .,the vlim galumphed you the narp .,the vlim galumphed the narp to you .
a uffish burbled him a snark .,a uffish burbled a snark to him .,the blicket gorped her the bouba .,the blicket gorped the bouba for her .
the zorp glorked him the boojum .,the zorp glorked the boojum to him .,a manxome fazzed us a slithy .,a manxome fazzed a slithy for us .
a rath gorped me a bouba .,a rath gorped a bouba for me .,the bandersnatch strugged them the jubjub .,the bandersnatch strugged the jubjub to them .
the crunk burbled us the dax .,the crunk burbled the dax for us .,a frob whiffled me a vorpal .,a frob whiffled a vorpal to me .
the tove galumphed him the slithy .,the tove galumphed the slithy for him .,a boojum crinked them a dax .,a boojum crinked a dax to them .
a manxome gimbled him a frabjous .,a manxome gimbled a frabjous for him .,the tove outgrabed her the glorp .,the tove outgrabed the glorp to her .
the rath outgrabed her the bouba .,the rath outgrabed the bouba to her .,a tumtum galumphed him a slithy .,a tumtum galumphed a slithy for him .
the kiki gimbled him the tulgey .,the kiki gimbled the tulgey to him .,a glorp porked her a slithy .,a glorp porked a slithy for her .
a jubjub glorked him a tove .,a jubjub glorked a tove for him .,the bandersnatch strugged her the borogove .,the bandersnatch strugged the borogove to her .
the blicket galumphed him the narp .,the blicket galumphed the narp to him .,a tulgey outgrabed them a kiki .,a tulgey outgrabed a kiki for them .
the dril strugged you the bouba .,the dril strugged the bouba to you .,a bandersnatch porked me a vlim .,a bandersnatch porked a vlim for me .
a snark yomped them a vlim .,a snark yomped a vlim for them .,the manxome fazzed her the tumtum .,the manxome fazzed the tumtum to her .
a fep whiffled her a vlim .,a fep whiffled a vlim for her .,the kiki quilliged them the mome .,the kiki quilliged the mome to them .
a jubjub gimbled me a tulgey .,a jubjub gimbled a tulgey to me .,the fep crinked them the slithy .,the fep crinked the slithy for them .
a vorpal quilliged me a borogove .,a vorpal quilliged a borogove for me .,the dax glorked her the quib .,the dax glorked the quib to her .
a vlim fazzed him a blicket .,a vlim fazzed a blicket to him .,the boojum burbled us the tove .,the boojum burbled the tove for us .
the zorp crinked them the tove .,the zorp crinked the tove to them .,a mome yomped you a quib .,a mome yomped a quib for you .
a mome pilked us a snark .,a mome pilked a snark for us .,the zorp blemed you the tove .,the zorp blemed the tove to you .
a boojum crinked him a bouba .,a boojum crinked a bouba for him .,the bandersnatch gimbled me the dril .,the bandersnatch gimbled the dril to me .
the dax galumphed him the mome .,the dax galumphed the mome to him .,a frabjous yomped her a tove .,a frabjous yomped a tove for her .
the crunk snickered him the zib .,the crunk snickered the zib to him .,a vlim burbled you a quib .,a vlim burbled a quib for you .
the zorp porked her the zib .,the zorp porked the zib to her .,a dril gimbled us a rath .,a dril gimbled a rath for us .
a frabjous crinked him a tulgey .,a frabjous crinked a tulgey for him .,the wug yomped them the dril .,the wug yomped the dril to them .
the narp strugged you the boojum .,the narp strugged the boojum for you .,a blicket yomped them a fep .,a blicket yomped a fep to them .
a narp gimbled him a bouba .,a narp gimbled a bouba to him .,the snark chortled us the fep .,the snark chortled the fep for us .
a tulgey quilliged her a glorp .,a tulgey quilliged a glorp for her .,the kiki yomped you the dax .,the kiki yomped the dax to you .
a vlim crinked him a snark .,a vlim crinked a snark to him .,the slithy snickered me the dril .,the slithy snickered the dril for me .
a dril whiffled me a narp .,a dril whiffled a narp to me .,the vorpal strugged you the tove .,the vorpal strugged the tove for you .
the quib whiffled her the manxome .,the quib whiffled the manxome for her .,a dax burbled you a wug .,a dax burbled a wug to you .
the rath chortled her the zorp .,the rath chortled the zorp for her .,a crunk gorped him a tove .,a crunk gorped a tove to him .
the quib galumphed us the tove .,the quib galumphed the tove to us .,a bandersnatch quilliged me a manxome .,a bandersnatch quilliged a manxome for me .
a bandersnatch galumphed him a crunk .,a bandersnatch galumphed a crunk to him .,the boojum strugged her the narp .,the boojum strugged the narp for her .
the vlim galumphed them the kiki .,the vlim galumphed the kiki for them .,a frob quilliged me a zib .,a frob quilliged a zib to me .
a bandersnatch snickered her a wug .,a bandersnatch snickered a wug for her .,the kiki blemed us the dril .,the kiki blemed the dril to us .
a borogove chortled him a boojum .,a borogove chortled a boojum for him .,the bouba whiffled me the dril .,the bouba whiffled the dril to me .
a slithy snickered you a bouba .,a slithy snickered a bouba to you .,the boojum porked him the fep .,the boojum porked the fep for him .
a frabjous glorked her a manxome .,a frabjous glorked a manxome to her .,the fep crinked them the kiki .,the fep crinked the kiki for them .
a blicket fazzed you a frob .,a blicket fazzed a frob to you .,the fep glorked her the quib .,the fep glorked the quib for her .
a frob crinked you a dax .,a frob crinked a dax for you .,the blicket pilked him the vorpal .,the blicket pilked the vorpal to him .
a slithy glorked us a rath .,a slithy glorked a rath to us .,the bandersnatch fazzed them the vorpal .,the bandersnatch fazzed the vorpal for them .
a frob galumphed her a jubjub .,a frob galumphed a jubjub to her .,the tulgey whiffled him the boojum .,the tulgey whiffled the boojum for him .
the dril burbled you the mome .,the dril burbled the mome for you .,a vorpal galumphed them a tove .,a vorpal galumphed a tove to them .
a crunk quilliged you a wug .,a crunk quilliged a wug to you .,the narp whiffled them the rath .,the narp whiffled the rath for them .
a dax gimbled me a narp .,a dax gimbled a narp for me .,the vorpal gorped them the dril .,the vorpal gorped the dril to them .
a mome porked you a manxome .,a mome porked a manxome for you .,the uffish burbled her the borogove .,the uffish burbled the borogove to her .
the frob quilliged her the boojum .,the frob quilliged the boojum to her .,a rath fazzed me a glorp .,a rath fazzed a glorp for me .
a rath yomped him a snark .,a rath yomped a snark to him .,the bouba burbled me the frabjous .,the bouba burbled the frabjous for me .
the quib pilked her the boojum .,the quib pilked the boojum for her .,a glorp gimbled me a frabjous .,a glorp gimbled a frabjous to me .
a tove outgrabed him a slithy .,a tove outgrabed a slithy for him .,the uffish fazzed them the snark .,the uffish fazzed the snark to them .
the bandersnatch gimbled you the vlim .,the bandersnatch gimbled the vlim for you .,a crunk snickered me a frabjous .,a crunk snickered a frabjous to me .
the quib gimbled us the dril .,the quib gimbled the dril to us .,a slithy fazzed them a frabjous .,a slithy fazzed a frabjous for them .
the frob fazzed me the dril .,the frob fazzed the dril to me .,a tove strugged him a zorp .,a tove strugged a zorp for him .
the snark strugged me the dax .,the snark strugged the dax for me .,a narp gorped her a kiki .,a narp gorped a kiki to her .
a narp yomped us a zib .,a narp yomped a zib for us .,the quib galumphed them the bouba .,the quib galumphed the bouba to them .
the frabjous strugged them the snark .,the frabjous strugged the snark to them .,a tulgey gimbled him a zib .,a tulgey gimbled a zib for him .
a dril blemed us a borogove .,a dril blemed a borogove to us .,the kiki chortled you the jubjub .,the kiki chortled the jubjub for you .
the quib burbled us the dax .,the quib burbled the dax for us .,a borogove gimbled him a wug .,a borogove gimbled a wug to him .
the jubjub galumphed me the tove .,the jubjub galumphed the tove to me .,a vorpal quilliged you a kiki .,a vorpal quilliged a kiki for you .
a manxome porked us a borogove .,a manxome porked a borogove for us .,the boojum quilliged him the zib .,the boojum quilliged the zib to him .
the tove gimbled you the bouba .,the tove gimbled the bouba for you .,a narp crinked them a crunk .,a narp crinked a crunk to them .
a frob outgrabed us a rath .,a frob outgrabed a rath to us .,the jubjub glorked you the bandersnatch .,the jubjub glorked the bandersnatch for you .
a boojum glorked him a fep .,a boojum glorked a fep to him .,the slithy strugged them the vorpal .,the slithy strugged the vorpal for them .
the quib glorked him the crunk .,the quib glorked the crunk for him .,a snark chortled her a uffish .,a snark chortled a uffish to her .
a borogove glorked her a mome .,a borogove glorked a mome for her .,the narp galumphed you the zib .,the narp galumphed the zib to you .
the jubjub burbled her the fep .,the jubjub burbled the fep to her .,a snark crinked us a dax .,a snark crinked a dax for us .
the borogove galumphed them the narp .,the borogove galumphed the narp to them .,a tove blemed us a blicket .,a tove blemed a blicket for us .
the crunk outgrabed him the bouba .,the crunk outgrabed the bouba to him .,a tove fazzed her a glorp .,a tove fazzed a glorp for her .
the blicket glorked us the narp .,the blicket glorked the narp for us .,a slithy blemed him a tove .,a slithy blemed a tove to him .
the tulgey quilliged him the quib .,the tulgey quilliged the quib to him .,a zib yomped her a borogove .,a zib yomped a borogove for her .
a bouba pilked them a boojum .,a bouba pilked a boojum for them .,the zib crinked me the jubjub .,the zib crinked the jubjub to me .
the frob gimbled me the narp .,the frob gimbled the narp for me .,a quib quilliged her a tumtum .,a quib quilliged a tumtum to her .
a frob chortled them a jubjub .,a frob chortled a jubjub for them .,the narp pilked you the bouba .,the narp pilked the bouba to you .
the fep porked her the rath .,the fep porked the rath to her .,a bandersnatch yomped you a jubjub .,a bandersnatch yomped a jubjub for you .
the tumtum galumphed me the uffish .,the tumtum galumphed the uffish to me .,a frabjous chortled him a slithy .,a frabjous chortled a slithy for him .
a zib strugged him a manxome .,a zib strugged a manxome for him .,the tove pilked you the mome .,the tove pilked the mome to you .
a dril fazzed us a narp .,a dril fazzed a narp to us .,the kiki gorped him the fep .,the kiki gorped the fep for him .
a dax yomped us a borogove .,a dax yomped a borogove to us .,the tulgey chortled them the dril .,the tulgey chortled the dril for them .
the snark pilked us the blicket .,the snark pilked the blicket for us .,a vorpal gimbled them a mome .,a vorpal gimbled a mome to them .
the manxome burbled her the dril .,the manxome burbled the dril to her .,a crunk whiffled you a tumtum .,a crunk whiffled a tumtum for you .
a quib crinked me a manxome .,a quib crinked a manxome for me .,the vorpal fazzed us the tulgey .,the vorpal fazzed the tulgey to us .
a borogove gimbled me a rath .,a borogove gimbled a rath to me .,the quib blemed her the blicket .,the quib blemed the blicket for her .
the jubjub glorked them the vlim .,the jubjub glorked the vlim for them .,a tove pilked me a dax .,a tove pilked a dax to me .
the snark burbled them the blicket .,the snark burbled the blicket to them .,a crunk galumphed him a zorp .,a crunk galumphed a zorp for him .
a boojum galumphed you a snark .,a boojum galumphed a snark for you .,the glorp pilked us the borogove .,the glorp pilked the borogove to us .
the frob burbled him the boojum .,the frob burbled the boojum to him .,a dril yomped them a tulgey .,a dril yomped a tulgey for them .
the manxome burbled them the glorp .,the manxome burbled the glorp to them .,a frob blemed you a bouba .,a frob blemed a bouba for you .
